Node,Model,RMSE,MAE,R²,MAPE
GLOBAL,CatBoost,71.5998,40.3532,0.5682,68.53
GLOBAL,LightGBM,70.166,39.9285,0.5851,67.07
GLOBAL,XGBoost,73.5088,41.4255,0.544,71.76
GLOBAL,RandomForest,74.2954,41.727,0.5389,71.9
