Node,Model,RMSE,MAE,R²,MAPE
1,CatBoost,90.0015,68.1837,-0.0314,68.53
1,LightGBM,91.9665,68.3866,-0.1263,68.94
1,XGBoost,92.7926,70.1853,-0.1293,73.41
1,RandomForest,89.0715,66.9993,-0.0274,66.89
2,CatBoost,0.5291,0.4276,-0.2318,86.35
2,LightGBM,0.3503,0.2656,0.0095,74.11
2,XGBoost,0.3239,0.1708,-0.0226,81.79
2,RandomForest,1.2624,0.9906,-0.9052,81.9
