Node,Model,RMSE,MAE,R²,MAPE
GLOBAL,CatBoost,8.2862,4.64,0.9941,26.48
GLOBAL,LightGBM,5.407,1.1211,0.9968,2.51
GLOBAL,XGBoost,4.68,1.1614,0.9977,2.13
GLOBAL,RandomForest,9.3872,3.8392,0.9914,6.71
